commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,id,pop,pctforeign,cAdmin,cEducationCulture,cHospitalHealthInsurance,cHousing,cMainAccounts,cSocialHealth,cTrafficInfrastructure,cUtilities,delta_eSocialHealth,eAdmin,eAdminhead,eEducationCulture,eEducationhead,eHospitalHealthInsurance,eHousing,eHousinghead,eMainAccounts,g_social,eSocialhead,eTotalhead,eTrafficInfrastructure,eTraffichead,eUtilities,eUtilitieshead,esocial_head,eutilhead,lowincome,lowincome_rate,pct_runningcons_social,rAdmin,rEducationCulture,rHospitalHealthInsurance,rHousing,rMainAccounts,rSocialHealth,rTrafficInfrastructure,rUtilities,sd_share,sd_share_foreign,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,social_head,totalseats,unemp_rate,unemployed,g_social_head,lowbracket_rate,c_social_head,d_c_social_head,g_housing_head,g_admin_head,g_education_head,g_utilities_head,g_traffic_head,pct1565,crime_vtheft
Thisted,2004,55124,74,73,2.481811523,0,2,2,1,3.40E-05,20069,1655,Thisted,29414,0.030291697,411,10768,0,24451,77850,25281,8117,8822,40451,100212,3.406949043,255262,8.678248405,0,15620,0.531039655,1090182,714554000,24.29298973,37.06336975,29116,0.98986876,-24582,-0.835724473,24.29298973,-0.835724473,12454,0.423403829,0.587188482,0,-647,0,-156,-182201,-181398,0,0,0.285714298,0.008654771,0,1,3,1,0,7,0,6,0,2,0,0,1,24.29298973,21,0.022642279,666,24292990,0.056265723,18985414,17530390,531039.625,3406949,8678248,-835724.5,989868.75,0.68229413,147
Thyborøn-Harboøre,2004,4241,4,7,1.463516593,0,1,1,0,0,3311,304,Thyborøn-Harboøre,4783,0.023416266,152,6984,0,967,12696,2580,196,1817,1684,26493,5.538992405,46331,9.686598778,0,2418,0.505540431,187637,113708000,23.77336311,39.22998047,5405,1.130043864,-6718,-1.404557824,23.77336311,-1.404557824,2072,0.433200926,0.546423733,0,-26,0,0,-24703,-24677,0,0,0.384615391,0.009006256,0,0,0,0,0,2,0,5,0,0,0,0,6,23.77336311,13,0.038260505,183,23773364,0.063558437,19153458,17685556,505540.4688,5538992.5,9686598,-1404557.75,1130043.875,0.692243338,11
Thyholm,2004,4759,11,23,6.406685352,0,0,0,0,0,2419,241,Thyholm,3590,0.015598886,109,12866,0,-96,14183,0,1091,213,2565,18848,5.250139236,25924,7.221169949,0,2511,0.699442923,129620,78371000,21.83036232,36.10585022,4885,1.360724211,-919,-0.255988866,21.83036232,-0.255988866,1896,0.52813369,0.538172483,0,0,0,0,-18650,-18650,0,0,0.363636374,0.005672322,0,0,3,0,0,4,0,4,0,0,0,0,0,21.83036232,11,0.032033425,115,21830362,0.067130916,16635375,15360456,699442.875,5250139.5,7221170,-255988.8594,1360724.25,0.673816144,34
Tinglev,2004,19726,39,29,2.840909243,0,0,0,0,0,7028,706,Tinglev,10208,0.067692004,0,0,0,-921,22894,22359,60,1396,18192,43348,4.246473312,89866,8.803487778,0,4576,0.448275864,386074,244442000,23.94612122,37.8207283,11177,1.094925523,-7335,-0.71855408,23.94612122,-0.71855408,4596,0.450235099,0.558161199,0,-5,0,0,-65534,-65529,0,0,0.235294119,0.015927531,0,1,1,1,0,7,0,4,0,0,3,0,0,23.94612122,17,0.032719437,334,23946120,0.069161445,19717084,18205986,448275.875,4246473.5,8803487,-718554.0625,1094925.5,0.688479602,68
Tjele,2004,22021,38,6,0.702000678,0,0,0,0,0,5721,539,Tjele,8547,0.032526031,316,6167,0,-845,22821,12700,222,4261,11329,31113,3.640224695,73859,8.641511917,0,4169,0.487773478,309210,194968000,22.8112793,36.17760468,8689,1.01661396,-3588,-0.419796407,22.8112793,-0.419796407,3545,0.414765418,0.567434669,0,-56,0,0,-45236,-45180,0,0,0.200000003,0.006505206,0,0,0,0,0,7,0,3,0,1,0,0,4,22.8112793,15,0.023985025,205,22811278,0.063063063,19011114,17554120,487773.5,3640224.75,8641512,-419796.4063,1016614,0.669357657,44
Tommerup,2004,15015,58,20,2.565747261,0,1,1,0,0,5352,438,Tommerup,7795,0.018345093,515,50,0,811,7462,1320,390,4376,9267,30754,3.945349693,74835,9.600384712,0,2392,0.306863368,281199,172995000,22.19307327,36.07427979,5331,0.683899939,-5108,-0.655291855,22.19307327,-0.655291855,3353,0.430147529,0.548610508,0,-219,0,0,-41971,-41752,0,0,0.533333361,0.00978405,0,0,1,0,0,5,0,8,0,1,0,0,0,22.19307327,15,0.029890956,233,22193072,0.056189865,17006156,15702821,306863.375,3945349.5,9600385,-655291.875,683899.9375,0.68659395,78
Tornved,2004,26994,66,19,2.084247589,0,0,0,0,0,6247,578,Tornved,9116,0.031483106,1448,3611,0,-1723,13371,2697,2958,4380,15604,38568,4.230803013,89352,9.801667213,0,2802,0.307371646,383283,253410000,27.79837608,42.04508591,6929,0.760092139,-7778,-0.853225112,27.79837608,-0.853225112,3338,0.366169363,0.592809975,0,-14,0,0,-64368,-64354,0,0,0.400000006,0.012593242,0,0,1,0,0,8,0,6,0,0,0,0,0,27.79837608,15,0.035870995,327,27798376,0.063405,21034776,19422692,307371.6563,4230803,9801667,-853225.125,760092.125,0.685278654,85
Tranekær,2004,8132,8,11,3.136584044,0,0,0,1,0.000285144,2307,193,Tranekær,3507,0.030795552,0,5371,0,808,29817,20090,361,3187,5995,16241,4.631023884,28457,8.11434269,0,1854,0.52865696,148819,101440000,28.92500687,42.43484497,2291,0.65326488,-1464,-0.417450815,28.92500687,-0.417450815,1224,0.349016249,0.614217639,0,-3,0,0,-26014,-26011,0,0,0.363636374,0.011198383,0,0,1,1,0,5,0,4,0,0,0,0,0,28.92500687,11,0.043627031,153,28925008,0.05503279,27236670,25149278,528657,4631023.5,8114342.5,-417450.8125,653264.875,0.657827199,19
Trehøje,2004,6682,21,17,1.709917545,0,0,0,0,0,6688,599,Trehøje,9942,0.023335345,0,775,0,9266,13689,624,735,2289,10452,30638,3.081673622,97125,9.769161224,0,3414,0.343391657,328542,187179000,18.82709694,33.04586792,11463,1.152987361,-1277,-0.128444985,18.82709694,-0.128444985,4277,0.430195123,0.506149173,0,-208,0,-7,-42731,-42516,0,0,0.176470593,0.004118002,0,2,0,0,0,10,0,3,0,0,0,0,2,18.82709694,17,0.019714342,196,18827098,0.060249448,14613458,13493497,343391.6563,3081673.75,9769161,-128444.9844,1152987.375,0.672701657,38
Trundholm,2004,37418,62,31,2.740452528,0,1,1,0,0,7964,642,Trundholm,11312,0.024840876,869,-217,0,-2918,24741,16870,3626,6511,37631,48720,4.306930542,98508,8.708274841,0,9875,0.872966766,514541,350651000,30.99814415,45.48629761,10175,0.899487257,-3388,-0.299504936,30.99814415,-0.299504936,4559,0.403023332,0.61601609,0,-84,0,0,-87945,-87861,0,0,0.235294119,0.005844912,0,0,1,1,0,7,0,4,2,1,0,0,1,30.99814415,17,0.029260961,331,30998144,0.056753889,24722418,22827716,872966.75,4306930.5,8708274,-299504.9375,899487.25,0.70403111,93
Tårnby,2004,96063,165,106,2.681168556,14,28,14,0,0,27521,1873,Tårnby,39535,0.046338689,82,32261,0,-15754,104635,31675,9771,46600,50988,136899,3.462729216,351959,8.90246582,0,50913,1.287795663,1480957,942243000,23.8331356,37.45938873,18266,0.462020993,-19323,-0.488756806,23.8331356,-0.488756806,13369,0.338156074,0.581824601,0,-1768,0,0,-196936,-195168,0,0,0.588235319,0.027258053,0,0,1,1,0,3,0,10,0,2,0,0,0,23.8331356,17,0.029821677,1179,23833136,0.047375742,19697736,18188120,1287795.625,3462729.25,8902466,-488756.8125,462021,0.696117342,271
Tølløse,2004,28769,54,19,1.947120309,0,0,0,0,0,6885,622,Tølløse,9758,0.030846484,0,68,0,-11073,-2793,2832,368,5012,10280,40501,4.150543213,86033,8.816662788,0,4040,0.414019257,370029,236502000,24.23672867,37.920578,9676,0.991596639,-6723,-0.688973129,24.23672867,-0.688973129,4063,0.416376293,0.576731265,0,-122,0,0,-54851,-54729,0,0,0.266666681,0.00822573,0,0,1,1,0,6,0,4,2,1,0,0,0,24.23672867,15,0.032178726,314,24236728,0.063742571,18918324,17468442,414019.2813,4150543.25,8816663,-688973.125,991596.625,0.70557493,73
Tønder,2004,44544,38,45,3.586228848,1,2,1,0,0,8663,742,Tønder,12548,0.052837107,468,757,0,1307,40883,33525,543,4283,29573,51759,4.124880314,104123,8.29797554,0,8893,0.708718538,486520,315164000,25.11667252,38.77271271,14827,1.181622624,-8246,-0.657156527,25.11667252,-0.657156527,5494,0.437838703,0.573689342,0,0,0,0,-84569,-84569,0,0,0.285714298,0.015096317,0,0,3,0,0,8,0,6,0,1,1,0,2,25.11667252,21,0.031718202,398,25116672,0.05913293,21048774,19435616,708718.5,4124880.5,8297976,-657156.5,1181622.625,0.690388918,83
Tørring-Uldum,2004,24376,94,14,1.129669905,0,0,0,0,0,8445,737,Tørring-Uldum,12393,0.020656822,100,3418,0,-813,22211,4435,1312,13759,24703,45832,3.698216677,119634,9.653352737,0,7850,0.633422077,469100,287124000,23.16823959,37.85201263,13919,1.123134017,-5259,-0.424352467,23.16823959,-0.424352467,5235,0.422415882,0.540503144,0,-18,0,0,-73106,-73088,0,0,0.263157904,0.005436006,0,0,1,2,0,7,0,5,0,0,0,0,4,23.16823959,19,0.02372307,294,23168240,0.059469055,17628580,16277543,633422.0625,3698216.75,9653353,-424352.4688,1123134,0.681433082,108
Ulfborg-Vemb,2004,10255,21,17,2.43797493,0,2,2,0,0,4734,442,Ulfborg-Vemb,6973,0.031693675,1065,4124,0,-7153,6254,6403,0,1815,9113,30715,4.404847145,58385,8.373010635,0,5255,0.753621101,266002,165251000,23.69869423,38.14742661,8354,1.198049664,-1958,-0.280797362,23.69869423,-0.280797362,3051,0.437544823,0.553680182,0,-1,0,0,-40267,-40266,0,0,0.266666681,0.008451647,0,0,0,2,0,8,0,4,0,1,0,0,0,23.69869423,15,0.027247956,190,23698694,0.063387349,18842392,17398330,753621.125,4404847.5,8373010,-280797.375,1198049.625,0.678904355,38
Ullerslev,2004,6905,32,2,0.390701324,0,0,0,0,0,3497,254,Ullerslev,5119,0.024809534,1240,1717,0,-1716,4619,0,333,3045,6120,24424,4.771244526,45627,8.913264275,0,2950,0.576284409,183778,108780000,21.25024414,35.90115356,4741,0.926157475,-2744,-0.536042213,21.25024414,-0.536042213,2021,0.394803673,0.517111003,0,0,0,-15,-28498,-28483,0,0,0.615384638,0.015267406,0,0,0,0,0,3,0,8,0,0,0,0,2,21.25024414,13,0.03281891,168,21250244,0.049619067,15686071,14483906,576284.4375,4771244.5,8913264,-536042.1875,926157.4375,0.683141232,34
Vallensbæk,2004,11087,101,15,1.211436033,0,1,1,0,0,9066,578,Vallensbæk,12382,0.057987399,0,14268,0,63229,88520,473,2676,7874,15766,74485,6.01558733,130351,10.52745914,0,13566,1.095622659,445651,221483000,17.88749886,35.99184418,14202,1.146987557,-8436,-0.681311607,17.88749886,-0.681311607,3939,0.318123072,0.445145905,0,-311,0,0,-42199,-41888,0,0,0.266666681,0.015463307,0,0,10,0,0,1,0,4,0,0,0,0,0,17.88749886,15,0.023098046,286,17887498,0.046680667,14542724,13428184,1095622.625,6015587,10527459,-681311.5625,1146987.625,0.73219192,116
Vallø,2004,18526,61,14,1.362928271,0,2,2,0,0,7301,526,Vallø,10272,0.025019471,630,2171,0,-4010,5314,556,85,5882,16817,47560,4.630062103,81286,7.913356781,0,11029,1.07369554,372650,232946000,22.67776489,36.27823257,7764,0.755841136,-7935,-0.772488296,22.67776489,-0.772488296,3814,0.371300638,0.568535149,0,0,0,0,-48860,-48860,0,0,0.266666681,0.006671859,0,0,1,1,0,9,0,4,0,0,0,0,0,22.67776489,15,0.027550623,283,22677764,0.051207166,17975274,16597667,1073695.5,4630062.5,7913356.5,-772488.3125,755841.125,0.71076715,75
Vamdrup,2004,14854,21,18,2.424242496,0,2,2,0,0,5052,390,Vamdrup,7425,0.032996632,0,4019,0,-3294,10407,2064,3373,4245,18445,29105,3.91986537,73338,9.877171516,0,5892,0.793535352,302236,189861000,25.57050514,40.70518494,8007,1.078383803,-3967,-0.534276068,25.57050514,-0.534276068,2645,0.356228948,0.568083405,0,0,0,-43,-42158,-42115,0,0,0.333333343,0.010998878,0,0,4,1,0,5,0,5,0,0,0,0,0,25.57050514,15,0.024646465,183,25570506,0.052525252,20176432,18630130,793535.375,3919865.25,9877172,-534276.125,1078383.875,0.680404067,39
Varde,2004,51905,129,62,3.089495659,0,4,4,0,0,13873,940,Varde,20068,0.037721746,508,9292,0,-1128,17646,6814,2214,-54,35631,89099,4.439854622,177579,8.848863602,0,16407,0.817570269,797587,495666000,24.69932175,39.74422073,15086,0.751744092,3750,0.186864659,24.69932175,0.186864659,7580,0.377715766,0.549671113,0,-465,0,0,-128174,-127709,0,0,0.294117659,0.011094632,0,0,3,0,0,9,0,5,0,0,0,0,0,24.69932175,17,0.026210884,526,24699322,0.046840742,18675054,17243816,817570.25,4439854.5,8848864,186864.6563,751744.0625,0.691299558,191
Vejen,2004,31774,128,40,2.35876894,0,2,2,0,0,11583,925,Vejen,16958,0.030840902,0,39198,0,-3491,64248,12790,3948,11803,38306,71118,4.193772793,150593,8.880351067,0,8231,0.485375643,639421,403881000,23.81654739,37.70615768,21244,1.252742052,-15646,-0.922632396,23.81654739,-0.922632396,6742,0.397570461,0.563654602,0,-999,0,-18,-101950,-100933,0,0,0.380952388,0.011748916,0,0,2,1,0,8,0,8,0,1,0,0,1,23.81654739,21,0.022231394,377,23816546,0.054546528,18618822,17191894,485375.625,4193772.75,8880351,-922632.375,1252742.125,0.68304044,168
Vejle,2004,170999,558,198,3.551569462,1,23,22,0,0,39494,2490,Vejle,55750,0.048089687,2226,26200,0,11669,199585,57946,54756,46788,79283,238042,4.26981163,466895,8.374797821,0,39422,0.707121074,2278624,1532217000,27.48371315,40.87218094,46466,0.833470881,-44418,-0.796735406,27.48371315,-0.796735406,19666,0.352753371,0.608571351,0,-9831,0,0,-396861,-387030,0,0,0.239999995,0.011541525,0,0,1,1,0,5,0,6,0,9,0,0,3,27.48371315,25,0.037022423,2064,27483714,0.044663679,21580860,19926924,707121.0625,4269811.5,8374798,-796735.4375,833470.875,0.708412528,756
Viborg,2004,104210,201,131,3.019685507,0,4,4,0,0,30872,2168,Viborg,43382,0.033124339,584,18146,0,-13594,52454,20956,14467,11895,75013,164696,3.796413183,367333,8.467406273,0,30491,0.70284909,1758465,1161845000,26.78173065,40.53443909,48463,1.117122293,-14363,-0.331082016,26.78173065,-0.331082016,17209,0.396685272,0.595673919,0,-943,0,-23,-285263,-284297,0,0,0.523809552,0.017350845,0,0,2,0,0,7,0,11,0,1,0,0,0,26.78173065,21,0.02537919,1101,26781730,0.049974643,20711448,19124142,702849.125,3796413.25,8467406,-331082,1117122.25,0.711631536,332
Videbæk,2004,12721,29,20,1.646361589,0,1,1,0,0,8158,688,Videbæk,12148,0.024366152,213,34288,0,-540,68150,32799,1420,-30,14400,41600,3.424432039,114452,9.421468735,0,5588,0.459993422,435084,261186000,21.50032997,35.8152771,15830,1.303095102,-3572,-0.294040173,21.50032997,-0.294040173,5599,0.460898906,0.537784278,0,-18,0,0,-58896,-58878,0,0,0.210526317,0.005129716,0,2,0,1,0,9,0,4,0,0,0,0,3,21.50032997,19,0.01967402,239,21500330,0.056634836,19353556,17870318,459993.4063,3424432,9421469,-294040.1563,1303095.125,0.67155087,49
Vinderup,2004,12288,11,16,1.989307523,0,0,0,0,0,5389,549,Vinderup,8043,0.030212607,0,3480,0,-6857,-3466,-1043,954,0,8653,32263,4.011314392,69135,8.595673561,0,4728,0.587840378,296128,179174000,22.27701187,36.81810379,10423,1.295909524,405,0.050354347,22.27701187,0.050354347,3237,0.402461767,0.544737697,0,0,0,-100,-39454,-39354,0,0,0.176470593,0.005331637,0,1,0,1,0,8,0,3,2,1,0,0,1,22.27701187,17,0.02175805,175,22277012,0.068258114,17254382,15932023,587840.375,4011314.25,8595673,50354.34375,1295909.5,0.67002362,27
Vissenbjerg,2004,16781,69,15,2.456600189,0,0,0,0,0,4274,314,Vissenbjerg,6106,0.020307895,0,27086,0,-5097,27978,119,3411,2459,6813,27812,4.55486393,52202,8.549295425,0,3091,0.506223381,255548,169049000,27.68571854,41.85194778,6862,1.123812675,-3468,-0.567965925,27.68571854,-0.567965925,2248,0.368162453,0.597723484,0,-190,0,-77,-41188,-40921,0,0,0.307692319,0.006248583,0,0,2,0,0,3,0,4,0,1,0,0,3,27.68571854,13,0.034392402,210,27685718,0.051424827,21003440,19393756,506223.375,4554864,8549296,-567965.9375,1123812.625,0.699967265,84
Vojens,2004,34104,84,38,2.262578011,0,0,0,0,0,11695,950,Vojens,16795,0.024828818,7497,1198,0,901,20050,2326,3404,4724,10896,61054,3.635248661,145979,8.691813469,0,11481,0.683596313,612264,388151000,23.11110497,36.45513535,16298,0.970407844,-10699,-0.637034833,23.11110497,-0.637034833,6221,0.37040785,0.558095992,0,-555,0,-35,-106446,-105856,0,0,0.428571433,0.010640922,0,0,1,1,0,10,0,9,0,0,0,0,0,23.11110497,21,0.03501042,588,23111104,0.056564454,16946770,15647986,683596.3125,3635248.5,8691813,-637034.8125,970407.875,0.696338177,122
Vordingborg,2004,94494,99,65,3.149987936,0,5,5,0,0,14522,1129,Vordingborg,20635,0.027477587,-7633,16208,0,-1539,46540,24519,7336,7649,20347,94404,4.57494545,162005,7.850981236,0,17181,0.832614481,853556,571125000,27.67749023,41.36447906,18032,0.873855114,-9191,-0.445408285,27.67749023,-0.445408285,7531,0.364962429,0.594645321,0,-1776,0,-45,-161298,-159477,0,0,0.473684222,0.0130157,0,0,2,1,0,5,0,9,1,1,0,0,0,27.67749023,19,0.030627575,632,27677490,0.054712866,21137244,19517306,832614.5,4574945.5,7850981.5,-445408.2813,873855.125,0.703755736,164
Værløse,2004,31459,160,21,1.131039023,0,0,0,0,0,12574,1041,Værløse,18567,0.039694082,231,23951,0,-9374,38130,12930,2501,7891,34437,88210,4.750902176,182767,9.843647003,0,17093,0.920611858,731798,436207000,23.49367142,39.4139061,22636,1.219152212,-15115,-0.814078748,23.49367142,-0.814078748,7016,0.377874732,0.5502069,0,0,0,0,-74627,-74627,0,0,0.200000003,0.007938816,0,0,4,0,0,5,0,3,2,1,0,0,0,23.49367142,15,0.01879679,349,23493672,0.056067217,20170732,18624866,920611.8125,4750902,9843647,-814078.75,1219152.25,0.677223027,181
Århus,2004,1495917,2803,1315,4.480256081,11,60,49,1,3.41E-06,216208,16117,Århus,293510,0.060038839,140628,128906,0,-70215,759354,280793,42919,236323,345102,1170941,3.989441633,2343171,7.983274937,0,139241,0.474399507,12169812,8731465000,29.7484417,41.46302414,289358,0.98585397,-504364,-1.718387842,29.7484417,-1.718387842,112233,0.382382214,0.653018117,0,-18500,0,-277,-2314629,-2295852,0,0,0.354838699,0.021304103,0,0,2,1,0,11,0,11,2,3,0,1,0,29.7484417,31,0.040458586,11875,29748442,0.054911248,22883056,21129322,474399.5,3989441.5,7983275,-1718387.75,985854,0.736629069,4118
Århus County,2004,,4660,2325,3.55791831,23,113,90,5,7.65E-06,466701,34852,Århus County,653472,0.044344671,169158,292417,0,-172448,1276649,443288,138595,405639,811434,2634741,4.031910896,5589450,8.55346489,0,320276,0.490114331,26262390,17744610000,27.1543541,40.18900681,643502,0.984743059,-670189,-1.025581837,27.1543541,-1.025581837,254113,0.388865948,0.607545376,0,-23941,0,-2015,-4626127,-4599598,-573,0,0.354838699,0.015735205,0,1,31,11,0,164,0,154,7,22,0,1,43,27.1543541,434,0.036973275,24161,27154354,0.053333577,20794004,19200372,490114.3438,4031911,8553465,-1025581.813,984743.0625,0.714186668,6985
Årslev,2004,17373,75,16,1.731414318,0,0,0,0,0,6316,519,Årslev,9241,0.022724813,-6895,946,0,-1994,8739,12216,2092,2374,11994,34620,3.746347904,83502,9.036035538,0,5003,0.541391611,327230,201134000,21.76539421,35.41067123,6683,0.723190129,-3712,-0.401688129,21.76539421,-0.401688129,4156,0.449734867,0.547966838,0,-528,0,-75,-49611,-49008,0,0,0.400000006,0.009089925,0,0,1,0,0,6,0,6,0,1,0,0,1,21.76539421,15,0.024997294,231,21765394,0.056162752,17784006,16421057,541391.625,3746347.75,9036035,-401688.125,723190.125,0.683475792,91
Åskov,2004,5193,31,16,2.280501604,0,0,0,0,0,4718,424,Åskov,7016,0.042616874,0,1493,0,735,3238,0,362,648,14977,28582,4.073831081,59724,8.512542725,0,4709,0.671180189,247171,146524000,20.88426399,35.22961807,9500,1.354047894,-1868,-0.266248584,20.88426399,-0.266248584,2968,0.423033059,0.526995361,0,-125,0,0,-34653,-34528,0,0,0.230769232,0.009834663,0,1,1,0,0,7,0,3,0,0,0,0,1,20.88426399,13,0.022377424,157,20884264,0.060433295,15962942,14739558,671180.1875,4073831.25,8512543,-266248.5625,1354047.875,0.67246294,47
Ærøskøbing (-2005/2006),2004,4293,2,5,1.336183906,0,0,0,0,0,2431,195,Ærøskøbing (-2005/2006),3742,0.021378942,119,128,0,-1493,24859,-2712,2220,26597,6799,23261,6.21619463,27672,7.394976139,0,2163,0.578033149,162159,104530000,27.93425941,43.3348465,6226,1.663816094,-1693,-0.452431858,27.93425941,-0.452431858,1129,0.301710308,0.590890348,0,0,0,-55,-21429,-21374,0,0,0.384615391,0.00822267,0,0,1,0,0,4,0,5,0,1,0,0,2,27.93425941,13,0.033137359,124,27934260,0.052111171,21497596,19850042,578033.125,6216194.5,7394976,-452431.8438,1663816.125,0.6496526,7
Ølgod,2004,15480,48,19,1.666959167,0,7,7,0,0,7518,694,Ølgod,11398,0.030092999,622,6247,0,-6,12332,2365,151,2953,11199,43014,3.773819923,106665,9.358221054,0,7209,0.63247937,410629,247466000,21.7113533,36.02640915,12965,1.137480259,-6690,-0.586945057,21.7113533,-0.586945057,5417,0.475258827,0.539087713,0,-253,0,-66,-57321,-57002,0,0,0.05882353,0.001770176,0,0,0,0,0,6,0,1,0,0,0,0,10,21.7113533,17,0.019652572,224,21711352,0.060887877,16917792,15621229,632479.375,3773820,9358221,-586945.0625,1137480.25,0.65958941,67
Ølstykke,2004,13254,142,21,1.414331794,0,0,0,0,0,10733,687,Ølstykke,14848,0.032260235,0,-4410,0,-21423,-13063,745,7271,4754,23152,67549,4.549366951,180667,12.16776657,0,20852,1.404364228,550478,277437000,18.68514252,37.07421875,10112,0.681034505,-6139,-0.413456351,18.68514252,-0.413456351,4911,0.330751628,0.448775291,0,-570,0,-10,-56195,-55615,0,0,0.333333343,0.010753412,0,0,2,0,0,7,0,5,0,1,0,0,0,18.68514252,15,0.020743534,308,18685142,0.046268858,14989695,13840899,1404364.25,4549367,12167767,-413456.3438,681034.5,0.72285831,163
Ørbæk,2004,15859,31,14,2.050981522,0,0,0,0,0,4605,418,Ørbæk,6826,0.019777322,846,289,0,-1643,2128,0,1549,1087,13071,26969,3.950922966,60054,8.797831535,0,3103,0.454585403,262992,169107000,1,38.5279808,7423,1.087459683,-3664,-0.536771178,24.77395248,-0.536771178,3026,0.443305016,0.57082653,0,-111,0,-79,-44677,-44487,0,0,0.333333343,0.006592441,0,0,1,0,0,7,0,5,0,1,0,0,1,24.77395248,15,0.036331672,248,24773952,0.061236449,18256666,16857494,454585.4063,3950923,8797832,-536771.1875,1087459.75,0.67462641,45
