commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,id,pop,pctforeign,cAdmin,cEducationCulture,cHospitalHealthInsurance,cHousing,cMainAccounts,cSocialHealth,cTrafficInfrastructure,cUtilities,delta_eSocialHealth,eAdmin,eAdminhead,eEducationCulture,eEducationhead,eHospitalHealthInsurance,eHousing,eHousinghead,eMainAccounts,g_social,eSocialhead,eTotalhead,eTrafficInfrastructure,eTraffichead,eUtilities,eUtilitieshead,esocial_head,eutilhead,lowincome,lowincome_rate,pct_runningcons_social,rAdmin,rEducationCulture,rHospitalHealthInsurance,rHousing,rMainAccounts,rSocialHealth,rTrafficInfrastructure,rUtilities,sd_share,sd_share_foreign,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,social_head,totalseats,unemp_rate,unemployed,g_social_head,lowbracket_rate,c_social_head,d_c_social_head,g_housing_head,g_admin_head,g_education_head,g_utilities_head,g_traffic_head,pct1565,crime_vtheft
Stenlille,2004,12474,20,18,3.26560235,0,0,0,0,0,3895,336,Stenlille,5512,0.019775037,6,5222,0,458,32802,13270,280,13566,9655,25152,4.563135147,56163,10.18922329,0,3499,0.634796798,231197,142100000,25.78011703,41.94430161,5416,0.982583463,-1133,-0.20555152,25.78011703,-0.20555152,1773,0.32166183,0.552309036,0,-122,0,0,-32455,-32333,0,0,0.15384616,0.003042314,0,0,0,1,0,6,0,2,0,0,0,0,4,25.78011703,13,0.032111757,177,25780116,0.060957909,22321660,20610950,634796.8125,4563135,10189224,-205551.5313,982583.4375,0.706640065,38
Stenløse,2004,23639,117,32,2.413819075,0,3,3,0,0,9432,713,Stenløse,13257,0.02979558,0,749,0,22106,30898,1265,796,5982,26350,73710,5.560081482,136653,10.30798817,0,15316,1.155314207,518099,286820000,21.63536263,39.08116531,8692,0.655653596,-3092,-0.23323527,21.63536263,-0.23323527,4746,0.357999533,0.495075911,0,-407,0,0,-60858,-60451,0,0,0.200000003,0.005959116,0,0,3,0,0,8,0,3,0,1,0,0,0,21.63536263,15,0.020366598,270,21635362,0.053782906,17170854,15854897,1155314.125,5560081.5,10307988,-233235.2656,655653.625,0.711473167,149
Stevns,2004,29923,41,41,3.602812052,0,0,0,0,0,7968,684,Stevns,11380,0.029613357,482,4755,0,1022,30167,2648,5467,15793,23907,46094,4.050439358,97534,8.570650101,0,5762,0.506326914,435576,280278000,24.6289978,38.27556992,15019,1.319771528,-9111,-0.800615132,24.6289978,-0.800615132,4553,0.400087863,0.567056894,0,0,0,-42,-76970,-76928,0,0,0.352941185,0.010451773,0,0,2,1,0,7,0,6,0,1,0,0,0,24.6289978,17,0.031282954,356,24628998,0.060105447,18101758,16714457,506326.875,4050439.25,8570650,-800615.125,1319771.5,0.700175762,82
Struer,2004,48110,72,48,2.482287884,0,4,4,0,0,13537,1073,Struer,19337,0.033562601,1737,14166,0,17564,42461,498,3364,5132,25109,73858,3.819516897,161417,8.347572327,0,9361,0.484097838,692759,430608000,22.26860428,35.82556915,21668,1.120546103,-4153,-0.214769617,22.26860428,-0.214769617,7384,0.381858617,0.548763335,0,-878,0,-95,-114927,-113515,-439,0,0.421052635,0.014131621,0,0,1,1,0,8,0,8,0,1,0,0,0,22.26860428,19,0.033510886,648,22268604,0.055489477,16424006,15165286,484097.8438,3819517,8347572,-214769.6094,1120546.125,0.700056911,120
Stubbekøbing,2004,21550,15,17,2.497796059,0,0,0,0,0,4618,404,Stubbekøbing,6806,0.025565678,0,4636,0,-1035,20466,14434,78,2353,5393,30864,4.534821987,51479,7.563767433,0,4045,0.594328523,272173,180973000,26.59021378,39.99015427,8835,1.298119307,-4023,-0.591096103,26.59021378,-0.591096103,2615,0.384219795,0.591880083,0,0,0,-106,-48969,-48863,0,0,0.454545468,0.011620763,0,0,1,0,0,3,0,5,0,0,0,0,2,26.59021378,11,0.03379371,230,26590214,0.05935939,21531590,19881430,594328.5625,4534822,7563767.5,-591096.0625,1298119.25,0.678518951,32
Støvring,2004,16809,64,15,1.162610531,0,0,0,0,0,8868,757,Støvring,12902,0.025654938,250,7666,0,-13909,11477,2120,9040,6310,6699,47945,3.716090441,128353,9.948302269,0,5031,0.389939547,432527,239573000,18.56867218,33.52402878,15852,1.228646755,-4227,-0.327623636,18.56867218,-0.327623636,6034,0.467679441,0.493982613,0,-256,0,0,-51714,-51458,0,0,0.263157904,0.0067513,0,0,0,1,0,11,0,5,1,0,0,0,1,18.56867218,19,0.036195938,467,18568672,0.058673073,14744613,13614600,389939.5313,3716090.5,9948303,-327623.625,1228646.75,0.687335312,79
Sundeved,2004,8612,16,5,0.955474854,0,1,1,0,0,3599,320,Sundeved,5233,0.028473152,700,4844,0,1361,17379,9479,461,534,9036,23065,4.407605648,49579,9.474297523,0,1812,0.346264094,177192,97617000,18.65411758,33.86050034,6811,1.301547885,-1692,-0.323332697,18.65411758,-0.323332697,2358,0.450601935,0.485595495,0,-28,0,0,-22553,-22525,0,0,0.230769232,0.006570728,0,0,0,0,0,3,0,3,0,0,0,0,7,18.65411758,13,0.025606727,134,18654118,0.061150391,16161093,14922523,346264.0938,4407605.5,9474298,-323332.6875,1301547.875,0.687750816,21
Sundsøre,2004,7664,12,7,1.07230401,0,0,0,0,0,4375,415,Sundsøre,6528,0.023284314,0,7320,0,772,11227,471,524,2140,12378,29995,4.594822407,56481,8.652113914,0,3947,0.604626238,241746,143357000,21.96032524,37.03216934,11466,1.756433845,-3500,-0.536151946,21.96032524,-0.536151946,2970,0.454963237,0.535791457,0,0,0,0,-29796,-29796,0,0,0.333333343,0.007761438,0,0,0,0,0,9,0,5,1,0,0,0,0,21.96032524,15,0.028186275,184,21960324,0.063572302,17468138,16129397,604626.25,4594822.5,8652114,-536151.9375,1756433.875,0.670189977,19
Suså,2004,20654,40,12,1.450676918,0,0,0,0,0,5798,500,Suså,8272,0.022001933,290,1443,0,-239,15615,6433,5550,2138,15994,31608,3.821083069,78030,9.433027267,0,4963,0.599975824,308946,189840000,22.94970894,37.34840393,8150,0.985251427,-3645,-0.440643132,22.94970894,-0.440643132,2869,0.346832693,0.541418552,0,-205,0,0,-49666,-49461,0,0,0.600000024,0.01320116,0,0,1,0,0,5,0,9,0,0,0,0,0,22.94970894,15,0.025749516,213,22949710,0.060444873,17748066,16387872,599975.8125,3821083.25,9433027,-440643.125,985251.4375,0.700918734,52
Svendborg,2004,143938,134,149,3.455873728,0,0,0,0,0,30320,2335,Svendborg,43115,0.040635511,2044,53825,0,4267,111850,12495,14805,24414,54504,204564,4.744613171,345881,8.022289276,0,25887,0.600417495,1841740,1270250000,29.46190453,42.71691895,30368,0.704348862,-35210,-0.816653132,29.46190453,-0.816653132,18032,0.418230325,0.614478946,0,-1284,0,-1,-366687,-363861,-1541,0,0.380952388,0.015480195,0,0,3,1,0,5,0,8,1,2,0,0,1,29.46190453,21,0.036298271,1565,29461904,0.054157484,21312396,19679034,600417.5,4744613,8022289,-816653.125,704348.8125,0.703235507,283
Svinninge,2004,18413,51,11,1.681442976,0,0,0,0,0,4563,358,Svinninge,6542,0.030877408,193,7599,0,-4277,8729,-2900,1809,6305,11554,30329,4.636044025,63441,9.697493553,0,1610,0.24610211,257579,161261000,24.65010643,39.37312698,5789,0.88489759,-4851,-0.741516352,24.65010643,-0.741516352,2903,0.443748087,0.553861201,0,-64,0,0,-41830,-41766,0,0,0.230769232,0.007125556,0,0,1,0,0,6,0,3,2,1,0,0,0,24.65010643,13,0.031794559,208,24650108,0.054723326,17822532,16456631,246102.1094,4636044,9697493,-741516.375,884897.5625,0.697493136,62
