voter.id,treatment,victim.status,ge2000,ge2002,fam.members,age,party,sex,pct.white,median.income
112,0,3,N,0,2,75,N,M,0.834441006,60139
113,0,3,N,0,2,85,D,F,0.879517972,60491
114,0,3,N,0,4,40,N,F,0.798907995,36998
114,0,3,N,0,4,40,N,F,0.798907995,36998
115,0,3,Y,1,2,81,D,F,0.714859009,69784
116,0,3,Y,1,2,54,N,M,0.852002978,89817
117,0,3,Y,1,1,68,N,F,0.714859009,69784
118,0,3,Y,0,1,83,N,M,0.714859009,69784
119,0,2,A,1,1,55,D,F,0.714859009,69784
120,0,3,N,0,4,23,D,M,0.907913983,47857
121,0,3,Y,1,2,68,D,F,0.920171022,113213
122,0,3,Y,1,1,55,N,F,0.781139016,102049
123,0,2,N,0,1,56,D,F,0.781139016,102049
124,0,3,N,0,1,48,N,F,0.95599401,55655
125,0,3,N,1,1,25,N,F,0.980488002,28281
126,0,3,Y,1,2,43,N,M,0.776324987,67500
127,1,3,N,0,2,47,N,F,0.964634001,94772
128,1,2,Y,0,2,19,I,M,0.859615028,123613
129,1,3,N,0,2,66,D,F,0.662500024,58092
130,0,3,Y,1,1,46,D,M,0.867847025,46591
131,0,3,Y,1,2,81,D,M,0.91081202,69602
132,0,3,N,0,3,42,N,M,0.818452001,92298
133,0,3,Y,0,3,74,N,F,0.818452001,92298
134,0,3,N,0,3,76,N,M,0.818452001,92298
135,0,3,N,0,2,87,N,F,0.786942005,99281
136,0,3,N,0,2,83,D,M,0.786942005,99281
137,0,3,N,0,2,81,N,M,0.787690997,52071
138,0,2,Y,1,1,32,N,F,0.955856025,40781
139,0,3,N,0,1,87,D,M,0.786942005,99281
140,0,3,Y,1,5,53,D,F,0.863569975,89680
141,0,3,Y,0,5,55,N,M,0.863569975,89680
142,0,2,Y,1,2,51,D,F,0.863569975,89680
143,0,3,A,0,4,53,N,F,0.837508023,123560
144,0,3,A,0,4,52,N,M,0.837508023,123560
145,0,3,N,0,2,77,N,F,0.847106993,87647
146,0,2,Y,1,2,65,D,M,0.903895974,52163
147,0,3,Y,1,1,56,N,M,0.943654001,31961
148,0,3,Y,0,4,53,N,M,0.837508023,123560
149,0,3,Y,1,4,50,N,F,0.837508023,123560
150,0,3,N,0,2,92,D,F,0.561172009,48571
151,0,2,N,0,4,37,N,M,0.976795971,29821
151,0,2,N,0,4,81,N,M,0.975678027,59792
152,0,2,N,0,4,35,N,F,0.976795971,29821
153,0,3,N,0,4,42,D,F,0.921781003,56125
154,0,3,Y,1,4,76,D,M,0.921781003,56125
155,0,3,Y,1,4,38,D,M,0.921781003,56125
156,0,3,Y,1,4,69,D,F,0.921781003,56125
157,0,3,Y,0,1,73,N,F,0.921781003,56125
158,0,3,Y,1,2,57,D,M,0.921781003,56125
159,0,3,Y,1,2,55,D,F,0.921781003,56125
