"","name","state","treated","y1986","y1994","y1983","y1990"
"1971","VORDERWEISSENBACH","UPPERAUSTRIA",0,0.1554109,0.1895695,0.1655897,0.1698873
"1972","VORNHOLZ","STYRIA",1,0.1652893,0.1837161,0.1836735,0.211329
"1973","WAEHRING","VIENNA",0,0.3554527,0.2550384,0.389012,0.3549447
"1974","WAENGLE","TYROL",1,0.2058166,0.218894,0.2522727,0.2568421
"1975","WAGNA","STYRIA",1,0.5851373,0.5115817,0.6505017,0.6007533
"1976","WAGRAIN","SALZBURG",0,0.2749344,0.2146211,0.3181818,0.2876893
"1977","WAIDHOFEN/THAYA-LAND","LOWERAUSTRIA",0,0.1856287,0.1904762,0.2253731,0.2239264
"1978","WAIDHOFEN/YBBS (STADT)","LOWERAUSTRIA",0,0.3694404,0.3053649,0.4062085,0.3799718
"1979","WAIDMANNSFELD","LOWERAUSTRIA",0,0.6655052,0.5441696,0.6992945,0.6245583
"1980","WAIDRING","TYROL",1,0.2413108,0.2281059,0.2788461,0.3070787
"1981","WAISENEGG","STYRIA",1,0.3058659,0.2465565,0.338257,0.2876902
"1982","WAIZENKIRCHEN","UPPERAUSTRIA",0,0.2747205,0.2177739,0.2999113,0.2724796
"1983","WALCHSEE","TYROL",1,0.1257942,0.1239264,0.1666667,0.1270237
"1984","WALD/PINZGAU","SALZBURG",0,0.4280763,0.4123894,0.4836363,0.391231
"1985","WALD/SCHOBERPASS","STYRIA",1,0.4717349,0.4185022,0.4950884,0.4880952
"1986","WALDBACH","STYRIA",1,0.2491409,0.2667845,0.2708333,0.2412646
"1987","WALDBURG","UPPERAUSTRIA",0,0.2535032,0.2503129,0.272846,0.2855314
"1988","WALDEGG","LOWERAUSTRIA",0,0.6145833,0.4926534,0.6393574,0.6141257
"1989","WALDENSTEIN","LOWERAUSTRIA",0,0.1965812,0.165035,0.2107558,0.2231884
"1990","WALDHAUSEN","LOWERAUSTRIA",0,0.2879464,0.231386,0.3202186,0.3092325
"1991","WALDHAUSEN/STRUDENGAU","UPPERAUSTRIA",0,0.3926606,0.3848054,0.427399,0.4503067
"1992","WALDING","UPPERAUSTRIA",0,0.425611,0.3787234,0.4651416,0.4449637
"1993","WALDKIRCHEN/THAYA","LOWERAUSTRIA",0,0.1986063,0.1715976,0.2359155,0.2140152
"1994","WALDKIRCHEN/WESEN","UPPERAUSTRIA",0,0.2465753,0.2205006,0.2748538,0.309633
"1995","WALDNEUKIRCHEN","UPPERAUSTRIA",0,0.3196911,0.2537313,0.3429719,0.3133748
"1996","WALDZELL","UPPERAUSTRIA",0,0.3167496,0.2912863,0.3634106,0.3542211
"1997","WALLERN/BURGENLAND","BURGENLAND",0,0.5476879,0.5226766,0.5495959,0.5664914
"1998","WALLERN/TRATTNACH","UPPERAUSTRIA",0,0.4302046,0.352474,0.4716243,0.4179663
"1999","WALLSEE-SINDELBURG","LOWERAUSTRIA",0,0.3139442,0.276221,0.3192869,0.3288854
"2000","WALPERSBACH","LOWERAUSTRIA",0,0.4721805,0.4202454,0.548124,0.4701492
"2001","WALS-SIEZENHEIM","SALZBURG",0,0.3060418,0.2585466,0.3644488,0.3129291
"2002","WANG","LOWERAUSTRIA",0,0.221889,0.1947149,0.2702703,0.2492212
"2003","WARTBERG/AIST","UPPERAUSTRIA",0,0.4825871,0.4045653,0.5180864,0.4771443
"2004","WARTBERG/KREMS","UPPERAUSTRIA",0,0.2880503,0.2223642,0.3295019,0.3137626
"2005","WARTBERG/MUERZTAL","STYRIA",1,0.6148148,0.5260922,0.6592376,0.5773913
"2006","WARTMANNSTETTEN","LOWERAUSTRIA",0,0.3303965,0.2683438,0.3794749,0.3398693
"2007","WATTENS","TYROL",1,0.3487661,0.2701135,0.4325251,0.3375267
"2008","WEER","TYROL",1,0.2689913,0.2125163,0.3057953,0.2739235
"2009","WEERBERG","TYROL",1,0.1474359,0.1427184,0.1875607,0.1897617
"2010","WEIBERN","UPPERAUSTRIA",0,0.2940529,0.2450867,0.3267327,0.2935154
"2011","WEICHSELBAUM","BURGENLAND",0,0.3461539,0.2895833,0.3472949,0.3559322
"2012","WEIDEN/MARCH","LOWERAUSTRIA",0,0.2423729,0.1914894,0.244863,0.2240437
"2013","WEIDEN/RECHNITZ","BURGENLAND",0,0.4416544,0.4381846,0.4978602,0.4891975
"2014","WEIDEN/SEE","BURGENLAND",0,0.3657938,0.3325163,0.4136513,0.3608661
"2015","WEIKENDORF","LOWERAUSTRIA",0,0.4347826,0.380137,0.4552309,0.4614004
"2016","WEIKERSDORF/STEINFELDE","LOWERAUSTRIA",0,0.210356,0.1755853,0.2404007,0.2369748
"2017","WEILBACH","UPPERAUSTRIA",0,0.1281407,0.1217617,0.1436031,0.1608579
"2018","WEILER","VORARLBERG",1,0.2190352,0.1990881,0.2363636,0.2876053
"2019","WEINBURG","LOWERAUSTRIA",0,0.5470914,0.5176471,0.5654008,0.5501285
"2020","WEINBURG/SASSBACH","STYRIA",1,0.2530949,0.2150072,0.2871428,0.2441379
"2021","WEINITZEN","STYRIA",1,0.3206278,0.2480995,0.3821277,0.3275362
"2022","WEINZIERL/WALDE","LOWERAUSTRIA",0,0.1906874,0.1940639,0.2133183,0.2133027
"2023","WEISSBACH/LOFER","SALZBURG",0,0.2270742,0.2280702,0.2608696,0.2546296
"2024","WEISSENBACH/ENNS","STYRIA",1,0.5934066,0.5403423,0.6905738,0.5863636
"2025","WEISSENBACH/LECH","TYROL",1,0.3888071,0.2886957,0.4561934,0.3667622
"2026","WEISSENBACH/LIEZEN","STYRIA",1,0.4645441,0.3601148,0.5406699,0.4060694
"2027","WEISSENBACH/TRIESTING","LOWERAUSTRIA",0,0.5153846,0.4321503,0.5533522,0.5320388
"2028","WEISSENKIRCHEN/ATTERGAU","UPPERAUSTRIA",0,0.1717557,0.1009524,0.1886051,0.1573705
"2029","WEISSENKIRCHEN/PERSCHLING","LOWERAUSTRIA",0,0.1829419,0.1553273,0.2147563,0.1603053
"2030","WEISSENKIRCHEN/WACHAU","LOWERAUSTRIA",0,0.3317491,0.2740668,0.3379501,0.3259669
"2031","WEISSENSEE","CARINTHIA",1,0.238806,0.1806452,0.2700422,0.2027559
"2032","WEISSENSTEIN","CARINTHIA",1,0.5402132,0.4794228,0.5985589,0.5422357
"2033","WEISSKIRCHEN/STEIERMARK","STYRIA",1,0.4352392,0.3913565,0.4975124,0.4184397
"2034","WEISSKIRCHEN/TRAUN","UPPERAUSTRIA",0,0.45244,0.3333333,0.4667258,0.4843014
"2035","WEISSPRIACH","SALZBURG",0,0.2923976,0.3236994,0.3139535,0.3333333
"2036","WEISTRACH","LOWERAUSTRIA",0,0.146437,0.1419753,0.1968254,0.1728493
"2037","WEITEN","LOWERAUSTRIA",0,0.2589532,0.2282454,0.30674,0.2816902
"2038","WEITENDORF","STYRIA",1,0.4422057,0.360221,0.5048335,0.4461207
"2039","WEITENSFELD/GURKTAL","CARINTHIA",1,0.4106901,0.3395141,0.441331,0.420202
"2040","WEITERSFELD","LOWERAUSTRIA",0,0.1467269,0.1333333,0.1633844,0.1561997
"2041","WEITERSFELDEN","UPPERAUSTRIA",0,0.3107049,0.2908587,0.3261745,0.3166886
"2042","WEITRA","LOWERAUSTRIA",0,0.329471,0.3074113,0.3583162,0.3568905
"2043","WELS (LAND)","UPPERAUSTRIA",0,0.4304184,0.3469007,0.4759763,0.4338621
"2044","WELS (STADT)","UPPERAUSTRIA",0,0.4304184,0.3968842,0.5597915,0.5020003
"2045","WENDLING","UPPERAUSTRIA",0,0.2039911,0.1747788,0.2195704,0.2099567
"2046","WENG/ADMONT","STYRIA",1,0.4871795,0.4247573,0.537037,0.4937343
"2047","WENG/INNKREIS","UPPERAUSTRIA",0,0.2587666,0.2089356,0.2933833,0.2437418
"2048","WENIGZELL","STYRIA",1,0.1615461,0.190239,0.1800995,0.194707
"2049","WENNS","TYROL",1,0.2504537,0.2452652,0.3095238,0.2493225
"2050","WEPPERSDORF","BURGENLAND",0,0.7229508,0.6290323,0.7392013,0.7080851
"2051","WERFEN","SALZBURG",0,0.4749164,0.3955659,0.5138662,0.4766082
"2052","WERFENWENG","SALZBURG",0,0.1182432,0.143662,0.1481481,0.1314103
"2053","WERNBERG","CARINTHIA",1,0.5505918,0.4473276,0.61875,0.5141031
"2054","WERNDORF","STYRIA",1,0.5632076,0.4861878,0.6351852,0.5707763
"2055","WERNERSDORF","STYRIA",1,0.4566116,0.3706897,0.5418502,0.4486373
"2056","WERNSTEIN/INN","UPPERAUSTRIA",0,0.3185484,0.2677866,0.3830439,0.3518519
"2057","WESTENDORF","TYROL",1,0.2726293,0.2472748,0.3083799,0.2883212
"2058","WEYER LAND","UPPERAUSTRIA",0,0.5656434,0.4842726,0.5815927,0.5735393
"2059","WEYER MARKT","UPPERAUSTRIA",0,0.5311496,0.4466085,0.5944141,0.5582492
"2060","WIEDEN","VIENNA",0,0.367494,0.282844,0.4059873,0.377205
"2061","WIELFRESEN","STYRIA",1,0.3015267,0.3225152,0.3192771,0.3207171
"2062","WIEN-UMGEBUNG","LOWERAUSTRIA",0,0.4891753,0.3901366,0.5340081,0.4810671
"2063","WIENER NEUDORF","LOWERAUSTRIA",0,0.5187216,0.4302837,0.5534167,0.5346555
"2064","WIENER NEUSTADT (LAND)","LOWERAUSTRIA",0,0.4926913,0.4046787,0.5220124,0.4839047
"2065","WIENER NEUSTADT (STADT)","LOWERAUSTRIA",0,0.4999592,0.4787879,0.6260149,0.5856587
"2066","WIENERWALD","LOWERAUSTRIA",0,0.3663552,0.2830821,0.4077295,0.375345
"2067","WIES","STYRIA",1,0.4437539,0.367866,0.4722399,0.4197456
"2068","WIESELBURG","LOWERAUSTRIA",0,0.5568922,0.451358,0.5702771,0.5434675
"2069","WIESELBURG-LAND","LOWERAUSTRIA",0,0.3520661,0.2853075,0.3900911,0.3476084
"2070","WIESEN","BURGENLAND",0,0.2841662,0.2811611,0.3089382,0.2878505
"2071","WIESFLECK","BURGENLAND",0,0.4819277,0.4251656,0.4864499,0.4838275
"2072","WIESING","TYROL",1,0.3628415,0.3260644,0.4356322,0.4125654
"2073","WIESMATH","LOWERAUSTRIA",0,0.3285303,0.2947053,0.3371869,0.3333333
