"","name","state","treated","y1986","y1994","y1983","y1990"
"2180","UNTERTILLIACH","TYROL",1,0.1065089,0.0295858,NA,0.0611111
"2181","VIRGEN","TYROL",1,0.2005623,0.1853496,NA,0.2199248
"2182","HEINFELS","TYROL",1,0.1142857,0.1237721,NA,0.1247485
"2183","BIBERWIER","TYROL",1,0.3091398,0.2610294,NA,0.2970588
"2184","EHENBICHL","TYROL",1,0.2671082,0.2,NA,0.2850972
"2185","GRAEN","TYROL",1,0.1050725,0.1009174,0.1352313,NA
"2186","HINTERHORNBACH","TYROL",1,0.0535714,0.0169492,NA,0.0169492
"2187","KAISERS","TYROL",1,0.0444444,0,0.1176471,NA
"2188","NAMLOS","TYROL",1,0.1081081,0.2222222,0.0540541,NA
"2189","REUTTE","TYROL",1,0.3665944,0.3172261,0.3846652,0.3719986
"2190","BRANDBERG","TYROL",1,0.2061856,0.1329114,NA,0.2393617
"2191","SCHWAZ","TYROL",1,0.3798788,0.3035904,0.4558845,0.3850314
"2192","BLUDENZ","VORARLBERG",1,0.4084084,0.3497638,0.4343972,0.4516046
"2193","BLUDESCH","VORARLBERG",1,0.3837375,0.31,NA,0.3992395
"2194","BREGENZ","VORARLBERG",1,0.3541458,0.2900983,0.3757567,0.3921364
"2195","DAMUELS","VORARLBERG",1,0.0241546,0.0414508,0.0529101,NA
"2196","KRUMBACH","VORARLBERG",1,0.159309,0.1309524,0.1183971,0.1792115
"2197","REUTHE","VORARLBERG",1,0.1209964,0.125,NA,0.1631206
"2198","WARTH","VORARLBERG",1,0.1057692,0.1397849,0.0470588,0.1428571
"2199","DORNBIRN","VORARLBERG",1,0.2829349,0.2229143,0.3085849,0.3146201
"2200","DUENSERBERG","VORARLBERG",1,0.0574713,0.0615385,NA,0.0674157
"2201","FELDKIRCH","VORARLBERG",1,0.259873,0.2161154,0.2744521,0.2881528
"2202","LATERNS","VORARLBERG",1,NA,0.05,0.0482234,0.0835322
"2203","VIKTORSBERG","VORARLBERG",1,0.0675105,0.0833333,NA,0.1462451
