treatment,victim.status,voted_2000,voted_2002,fam.members,age,party,sex,pct.white,median.income
0,3,N,0,4,23,D,M,0.907913983,47857
0,3,Y,1,2,68,D,F,0.920171022,113213
0,3,Y,1,1,55,N,F,0.781139016,102049
0,2,N,0,1,56,D,F,0.781139016,102049
0,3,N,0,1,48,N,F,0.95599401,55655
0,3,N,1,1,25,N,F,0.980488002,28281
0,3,Y,1,2,43,N,M,0.776324987,67500
1,3,N,0,2,47,N,F,0.964634001,94772
1,2,Y,0,2,19,I,M,0.859615028,123613
1,3,N,0,2,66,D,F,0.662500024,58092
0,3,Y,1,1,46,D,M,0.867847025,46591
0,3,Y,1,2,81,D,M,0.91081202,69602
0,3,N,0,3,42,N,M,0.818452001,92298
0,3,Y,0,3,74,N,F,0.818452001,92298
0,3,N,0,3,76,N,M,0.818452001,92298
0,3,N,0,2,87,N,F,0.786942005,99281
0,3,N,0,2,83,D,M,0.786942005,99281
0,3,N,0,2,81,N,M,0.787690997,52071
0,2,Y,1,1,32,N,F,0.955856025,40781
0,3,N,0,1,87,D,M,0.786942005,99281
0,3,Y,1,5,53,D,F,0.863569975,89680
0,3,Y,0,5,55,N,M,0.863569975,89680
0,2,Y,1,2,51,D,F,0.863569975,89680
0,3,A,0,4,53,N,F,0.837508023,123560
0,3,A,0,4,52,N,M,0.837508023,123560
0,3,N,0,2,77,N,F,0.847106993,87647
0,2,Y,1,2,65,D,M,0.903895974,52163
0,3,Y,1,1,56,N,M,0.943654001,31961
0,3,Y,0,4,53,N,M,0.837508023,123560
0,3,Y,1,4,50,N,F,0.837508023,123560
0,3,N,0,2,92,D,F,0.561172009,48571
0,2,N,0,4,37,N,M,0.976795971,29821
0,2,N,0,4,81,N,M,0.975678027,59792
0,2,N,0,4,35,N,F,0.976795971,29821
0,3,N,0,4,42,D,F,0.921781003,56125
0,3,Y,1,4,76,D,M,0.921781003,56125
0,3,Y,1,4,38,D,M,0.921781003,56125
0,3,Y,1,4,69,D,F,0.921781003,56125
0,3,Y,0,1,73,N,F,0.921781003,56125
0,3,Y,1,2,57,D,M,0.921781003,56125
0,3,Y,1,2,55,D,F,0.921781003,56125
0,3,Y,1,3,73,D,F,0.866087019,114731
0,3,Y,1,3,73,I,M,0.866087019,114731
0,2,N,1,1,72,N,F,0.967794001,33500
0,3,Y,1,1,86,D,F,0.967794001,33500
1,3,Y,1,2,59,D,M,0.949916005,33444
1,3,Y,1,2,55,N,F,0.949916005,33444
0,3,N,0,2,63,D,F,0.410564989,48214
0,3,N,0,2,65,N,M,0.410564989,48214
0,3,N,0,3,67,D,F,0.705882013,81463
0,3,Y,0,3,74,N,M,0.705882013,81463
0,3,Y,1,2,77,D,M,0.907707989,90608
0,3,Y,1,5,64,N,F,0.86273098,115405
0,3,Y,1,5,72,N,M,0.86273098,115405
0,3,Y,1,2,67,D,F,0.960285008,34375
0,3,N,0,1,58,N,M,0.878488004,61250
0,3,Y,1,1,40,N,M,0.781139016,102049
0,3,Y,1,2,63,D,F,0.942236006,102983
0,3,Y,1,2,67,N,M,0.942236006,102983
0,3,Y,1,4,71,N,M,0.918968976,86803
0,3,Y,1,3,77,N,F,0.942236006,102983
0,3,N,0,3,80,N,M,0.942236006,102983
1,3,Y,1,3,73,D,F,0.938322008,38250
1,3,Y,1,3,72,D,M,0.938322008,38250
0,3,N,0,1,37,D,F,0.974474013,52230
0,3,Y,1,2,68,D,F,0.866087019,114731
0,3,Y,1,2,69,N,M,0.866087019,114731
0,3,Y,1,2,70,D,F,0.928849995,138752
0,3,Y,1,3,67,N,F,0.928849995,138752
0,3,Y,1,3,71,N,M,0.928849995,138752
0,3,Y,1,2,75,D,F,0.764226973,66154
0,3,N,1,2,51,D,M,0.976000011,33152
0,3,N,1,2,51,D,F,0.976000011,33152
0,3,Y,1,1,89,D,F,0.694361985,61563
0,3,Y,1,1,67,N,M,0.949916005,33444
0,3,Y,1,1,53,N,F,0.665678978,47094
0,3,N,0,2,83,N,M,0.93859601,99392
0,3,Y,1,2,82,D,F,0.93859601,99392
0,3,N,0,2,81,N,F,0.93859601,99392
0,3,N,0,2,84,D,M,0.93859601,99392
1,3,Y,0,2,42,D,F,0.369989008,55066
0,3,Y,1,2,38,N,M,0.980488002,28281
0,3,Y,0,2,37,N,F,0.980488002,28281
0,3,N,0,4,85,D,F,0.890093029,70465
0,3,N,0,4,85,D,F,0.890093029,70465
0,3,Y,1,2,75,D,F,0.949916005,33444
0,3,Y,1,2,75,D,M,0.949916005,33444
0,3,Y,1,2,67,D,M,0.819383025,91493
0,3,Y,1,2,67,N,F,0.819383025,91493
0,3,Y,0,1,70,N,F,0.819383025,91493
0,3,N,0,1,78,N,F,0.949916005,33444
0,3,Y,1,2,49,D,F,0.819383025,91493
0,2,N,0,3,91,D,F,0.945177972,72500
0,3,Y,0,2,59,D,F,0.918392003,88227
0,3,Y,1,3,64,N,F,0.959904015,46094
0,3,Y,0,3,65,N,M,0.959904015,46094
0,2,Y,0,1,38,D,F,0.980313003,51250
0,3,Y,1,1,29,N,M,0.980488002,28281
0,3,Y,1,3,62,D,F,0.93859601,99392
0,3,Y,1,3,70,N,M,0.93859601,99392
0,3,Y,1,3,73,N,F,0.93859601,99392
0,3,Y,1,3,75,N,M,0.93859601,99392
0,3,N,0,3,54,N,M,0.863252997,100892
1,3,Y,0,1,51,N,M,0.859615028,123613
1,3,Y,0,1,45,N,F,0.859615028,123613
0,3,N,0,1,70,N,M,0.93859601,99392
0,3,Y,1,3,75,D,M,0.93859601,99392
