country,wifecoethnic,oppcoethnic,ethnicpercent,vote
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,1
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
benin,1,1,0.41736227,0
