year,state,Asian,Black,Hispanic,Indigenous,White,Female,Male,age20,age3045,age4565,age65,total
1990,OK,1.020043352,6.730041931,2.279494663,6.996191833,82.97422822,52.07938057,47.92061943,28.8070104,42.46227359,20.98484883,7.745867182,2441857
1990,OR,2.313749547,1.416614277,3.383178165,1.156807559,91.72965045,51.41686073,48.58313927,26.54778351,45.34904302,20.59319995,7.509973522,2231659
1990,PA,1.069241961,8.483326748,1.673760346,0.110088414,88.66358253,52.88770459,47.11229541,27.22294677,41.52174814,23.30240338,7.952901705,9556864
1990,RI,1.569008285,3.110795576,3.963720055,0.326774545,91.02970154,52.79009058,47.20990942,29.75585711,40.89794947,21.39729531,7.948898102,815547
1990,SC,0.60262011,27.44526317,0.808225077,0.221592399,70.92229925,52.28000177,47.71999823,31.49952239,43.21860308,19.77147849,5.510396038,2733397
1990,SD,0.379993935,0.374687287,0.529338185,5.658972026,93.05700857,51.37404291,48.62595709,28.55716018,40.73459177,21.63387916,9.074368888,527640
1990,TN,0.604858297,14.59615252,0.61186786,0.191964103,83.99515722,52.64272128,47.35727872,29.38844396,43.4417419,20.42524855,6.744565591,3880413
1990,TX,1.786675062,11.12698805,23.20764603,0.316849581,63.56184128,51.34252725,48.65747275,32.37050126,44.37124012,17.68497898,5.573279646,12911805
1990,UT,1.951647984,0.637945458,4.623138698,1.193073448,91.59419441,51.05847415,48.94152585,36.09536557,42.27379956,16.42780659,5.203028275,1195400
1990,VA,2.439231924,17.64583254,2.441561736,0.225829671,77.24754413,51.48381662,48.51618338,31.1012048,45.22531407,18.31007202,5.36340911,4936021
1990,VT,0.524503514,0.283899366,0.590573819,0.271948082,98.32907522,51.6890772,48.3109228,29.40421722,45.42615347,18.60251157,6.567117734,443467
1990,WA,4.077255992,2.742309752,3.713191732,1.419309989,88.04793253,50.87226421,49.12773579,28.67122743,46.13921786,18.85710458,6.332450138,3791913
1990,WI,0.866539,4.186386641,1.558044592,0.673171014,92.71585875,51.74528352,48.25471648,29.1534791,42.83559907,20.28348888,7.727432949,3801560
1990,WV,0.37704756,2.971076318,0.406276053,0.11134664,96.13425343,52.79654046,47.20345954,26.79181101,42.16926916,23.16817379,7.870746036,1436954
1990,WY,0.578360466,0.698163706,4.972129517,1.663966668,92.08737964,50.3539507,49.6460493,28.18090879,47.45890247,18.61966603,5.740522708,338889
1991,AK,3.546874355,3.629930228,2.836042363,13.73093297,76.25622008,46.98072472,53.01927528,31.32396405,55.44416678,11.45831057,1.773558604,411771
1991,AL,0.541675288,23.31481043,0.571780442,0.381331946,75.19040189,52.94576909,47.05423091,29.31645456,42.78681761,20.8624676,7.034260224,3218718
1991,AR,0.495761012,14.17364306,0.774136673,0.498338068,84.05812119,52.57139114,47.42860886,27.94215155,41.53311167,22.07672001,8.448016768,1862591
1991,AZ,1.502487719,2.679243546,17.00660461,4.337986417,74.4736777,51.07242546,48.92757454,29.5834272,42.76772174,20.70724172,6.941609339,2911904
1991,CA,9.469304242,6.776458105,23.74071939,0.619554825,59.39396343,50.30038012,49.69961988,31.33694584,45.56485174,17.473361,5.624841419,23395024
1991,CO,1.731136116,3.692642862,11.86420185,0.642367905,82.06965126,50.83810666,49.16189334,28.56000812,48.83914561,17.24949673,5.351349537,2621862
1991,CT,1.548954122,7.440017527,5.853959094,0.185936335,84.97113292,52.23374358,47.76625642,27.20247453,44.87223334,20.54496579,7.380326344,2651983
1991,DC,2.134069646,62.48218115,5.49918742,0.220614366,29.66394742,54.05032004,45.94967996,32.32948805,42.63946621,18.44116484,6.589880888,500874
1991,DE,1.415196027,15.63220142,2.229003434,0.302738586,80.42086053,52.19090558,47.80909442,29.51301646,43.85286422,20.63417136,5.999947964,538088
1991,FL,1.168336564,11.53677892,12.26840536,0.250778985,74.77570016,52.18578949,47.81421051,25.20279204,40.44578048,24.70114137,9.650286105,10786789
1991,GA,1.201990879,25.11031739,1.767365671,0.187030207,71.73329585,52.15066322,47.84933678,31.23197038,46.00522436,17.40805754,5.354747723,5158525
1991,HI,62.91849095,2.246235615,6.234807005,0.333054012,28.26741242,49.29648089,50.70351911,29.44908671,45.49883504,19.60273578,5.449342474,891447
1991,IA,0.87138054,1.529017607,1.055783984,0.198707851,96.34511002,52.25691993,47.74308007,27.23270983,41.79153316,21.67492255,9.300834454,2188137
1991,ID,0.893848123,0.296230601,4.629988901,1.142253853,93.03767852,50.74064096,49.25935904,28.83027585,44.82221652,19.39498316,6.95252447,775747
