eduyrs,female,close_far_right,minority,father_citizen,father_secondary,years_to_reform
13,1,0,1,0,NA,-23
9,1,0,1,0,NA,-37
13,1,1,1,0,0,12
9,1,0,1,0,1,-29
9,1,0,1,0,1,-39
13,0,0,1,0,1,6
13,0,0,1,0,1,1
13,0,0,0,1,1,15
11,0,0,1,0,1,8
13,0,0,1,0,NA,9
11,0,0,1,0,1,-8
13,1,0,1,0,1,-17
13,1,0,1,0,1,19
9,1,0,1,0,1,-14
13,1,0,1,0,NA,-5
10,1,0,1,0,1,-10
12,0,0,1,0,NA,6
10,1,0,1,0,1,-15
11,0,0,1,0,1,1
13,1,0,1,0,NA,5
11,0,0,1,0,1,-17
13,1,0,1,0,1,0
13,0,0,1,1,NA,0
13,1,0,1,0,1,-14
12,1,0,1,0,0,-26
13,0,0,1,0,1,-14
12,1,0,1,0,0,-12
13,1,1,1,0,1,12
11,0,0,1,0,1,-37
11,1,0,1,0,1,-29
13,0,0,1,0,1,-3
13,1,0,1,0,1,-15
13,1,0,1,1,1,7
12,1,0,1,0,1,-15
13,1,0,1,0,0,-19
10,0,0,1,0,NA,-19
13,1,0,1,0,1,-33
13,0,0,1,0,NA,9
12,0,0,1,0,1,13
13,0,0,1,0,1,9
11,0,0,1,0,1,10
13,0,0,1,0,1,-12
9,0,0,1,0,1,-28
10,1,0,1,0,1,-14
13,1,0,1,0,1,-10
13,1,0,1,0,1,-19
13,0,0,1,0,0,1
13,1,0,1,0,1,13
13,0,0,1,0,1,-33
13,0,0,1,0,1,13
8,0,0,1,0,1,-40
11,0,0,1,0,1,-9
10,1,0,1,0,1,-16
13,0,0,1,0,0,-6
11,0,0,1,0,1,-14
13,1,0,1,0,1,-30
11,0,0,1,0,1,-6
11,0,0,1,1,0,3
13,1,0,1,0,1,16
13,0,0,1,0,1,-4
9,1,0,1,0,1,-29
11,1,0,1,1,1,-38
10,0,0,1,0,1,-14
10,1,0,1,0,0,-14
13,0,0,1,0,1,-12
13,0,0,1,0,0,-3
11,0,1,1,0,NA,-2
10,1,0,1,0,NA,2
11,0,0,1,1,1,-11
9,0,0,1,0,1,-31
9,1,0,1,0,1,-36
